date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:57	117/117	---M-Z	200	added ('OK')	text/plain	date:Fri,%2022%20Jan%202016%2016:28:01%20GMT	http://icit2015.ximb.ac.in/robots.txt		(from )
10:27:58	39288/39288	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/index.html	(from )
10:27:58	3147/3147	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/app/images/apple-touch-icon.png	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/app/images/apple-touch-icon.png	(from http://icit2015.ximb.ac.in/)
10:27:58	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/app/images/cleardot.gif	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/app/images/cleardot.gif	(from http://icit2015.ximb.ac.in/)
10:27:59	18087/18087	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jan%202016%2016:28:03%20GMT	http://icit2015.ximb.ac.in/CSI/	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/CSI/index.html	(from http://icit2015.ximb.ac.in/)
10:28:00	42406/42406	---MC-	200	added ('OK')	text/css	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/app/css/codemirror_css.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/app/css/codemirror_css.css	(from http://icit2015.ximb.ac.in/)
10:28:01	8590/8590	---MC-	200	added ('OK')	text/css	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/app/css/trogedit.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/app/css/trogedit.css	(from http://icit2015.ximb.ac.in/)
10:28:01	1032/1032	---MC-	200	added ('OK')	text/css	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/app/css/codeeditor.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/app/css/codeeditor.css	(from http://icit2015.ximb.ac.in/)
10:28:03	10006/10006	---MC-	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2016:28:05%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/editor.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/editor.css	(from http://icit2015.ximb.ac.in/)
10:28:05	3537/3537	---MC-	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2016:28:06%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/overlay.css?cb=microblueprint38a925px200150goog-ws-nav-nosidenone30topstandard	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/overlay9a00.css	(from http://icit2015.ximb.ac.in/)
10:28:06	2225/2225	---MC-	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2016:28:08%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/camelot/allthemes-view.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/camelot/allthemes-view.css	(from http://icit2015.ximb.ac.in/)
10:28:08	191671/191671	---MC-	200	added ('OK')	text/css	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/app/themes/microblueprint/standard-css-microblueprint-ltr-ltr.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/app/themes/microblueprint/standard-css-microblueprint-ltr-ltr.css	(from http://icit2015.ximb.ac.in/)
10:28:08	39288/39288	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/home	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home.html	(from http://icit2015.ximb.ac.in/)
10:28:08	30585/30585	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/organizing-committee	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/organizing-committee.html	(from http://icit2015.ximb.ac.in/)
10:28:09	19288/19288	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/tutorials	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/tutorials.html	(from http://icit2015.ximb.ac.in/)
10:28:09	25212/25212	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/registration-fees	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/registration-fees.html	(from http://icit2015.ximb.ac.in/)
10:28:10	38189/38189	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/tpc	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/tpc.html	(from http://icit2015.ximb.ac.in/)
10:28:10	18703/18703	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/accomodation	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/accomodation.html	(from http://icit2015.ximb.ac.in/)
10:28:10	20761/20761	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/contact	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/contact.html	(from http://icit2015.ximb.ac.in/)
10:28:11	21391/21391	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/deadlines	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/deadlines.html	(from http://icit2015.ximb.ac.in/)
10:28:11	20640/20640	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/papersub	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/papersub.html	(from http://icit2015.ximb.ac.in/)
10:28:11	19543/19543	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/system/app/pages/sitemap/hierarchy	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/system/app/pages/sitemap/hierarchy.html	(from http://icit2015.ximb.ac.in/)
10:28:11	3371/3371	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jan%202016%2016:28:16%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1449635047133/home/DrubusLogo4.png?height=78&width=150	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1449635047133/home/DrubusLogo45b93.png	(from http://icit2015.ximb.ac.in/)
10:28:12	3206/3206	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jan%202016%2016:28:16%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1449635114872/home/batoi-logo-white.png?width=150	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1449635114872/home/batoi-logo-white3dd1.png	(from http://icit2015.ximb.ac.in/)
10:28:12	2268/2268	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jan%202016%2016:28:17%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1450668260994/home/opgc.png	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1450668260994/home/opgc.png	(from http://icit2015.ximb.ac.in/)
